section,package,classification,purpose,notes
packages-ai,python3-openai,rpm-ai,Local AI runtime + tooling,From usr/share/mios/mios.toml [packages.ai].pkgs
packages-android,waydroid,rpm-android,Waydroid + binder for Android container,From usr/share/mios/mios.toml [packages.android].pkgs
packages-base,policycoreutils-python-utils,rpm-base,"Base OS / first-pass install (security stack, tooling)",From usr/share/mios/mios.toml [packages.base].pkgs
packages-base,selinux-policy-targeted,rpm-base,"Base OS / first-pass install (security stack, tooling)",From usr/share/mios/mios.toml [packages.base].pkgs
packages-base,firewalld,rpm-base,"Base OS / first-pass install (security stack, tooling)",From usr/share/mios/mios.toml [packages.base].pkgs
packages-base,audit,rpm-base,"Base OS / first-pass install (security stack, tooling)",From usr/share/mios/mios.toml [packages.base].pkgs
packages-base,fapolicyd,rpm-base,"Base OS / first-pass install (security stack, tooling)",From usr/share/mios/mios.toml [packages.base].pkgs
packages-base,crowdsec,rpm-base,"Base OS / first-pass install (security stack, tooling)",From usr/share/mios/mios.toml [packages.base].pkgs
packages-base,usbguard,rpm-base,"Base OS / first-pass install (security stack, tooling)",From usr/share/mios/mios.toml [packages.base].pkgs
packages-bloat,malcontent-control,rpm-removed,Packages explicitly REMOVED post-install,From usr/share/mios/mios.toml [packages.bloat].pkgs
packages-bloat,malcontent-pam,rpm-removed,Packages explicitly REMOVED post-install,From usr/share/mios/mios.toml [packages.bloat].pkgs
packages-bloat,malcontent-tools,rpm-removed,Packages explicitly REMOVED post-install,From usr/share/mios/mios.toml [packages.bloat].pkgs
packages-bloat,gnome-tour,rpm-removed,Packages explicitly REMOVED post-install,From usr/share/mios/mios.toml [packages.bloat].pkgs
packages-bloat,gnome-initial-setup,rpm-removed,Packages explicitly REMOVED post-install,From usr/share/mios/mios.toml [packages.bloat].pkgs
packages-bloat,PackageKit,rpm-removed,Packages explicitly REMOVED post-install,From usr/share/mios/mios.toml [packages.bloat].pkgs
packages-bloat,PackageKit-command-not-found,rpm-removed,Packages explicitly REMOVED post-install,From usr/share/mios/mios.toml [packages.bloat].pkgs
packages-boot,bootupd,rpm-boot,"Bootloader, plymouth, grubby, dracut",From usr/share/mios/mios.toml [packages.boot].pkgs
packages-boot,dnf5-plugins,rpm-boot,"Bootloader, plymouth, grubby, dracut",From usr/share/mios/mios.toml [packages.boot].pkgs
packages-boot,systemd-boot-unsigned,rpm-boot,"Bootloader, plymouth, grubby, dracut",From usr/share/mios/mios.toml [packages.boot].pkgs
packages-boot,efibootmgr,rpm-boot,"Bootloader, plymouth, grubby, dracut",From usr/share/mios/mios.toml [packages.boot].pkgs
packages-boot,systemd-ukify,rpm-boot,"Bootloader, plymouth, grubby, dracut",From usr/share/mios/mios.toml [packages.boot].pkgs
packages-boot,binutils,rpm-boot,"Bootloader, plymouth, grubby, dracut",From usr/share/mios/mios.toml [packages.boot].pkgs
packages-boot,efitools,rpm-boot,"Bootloader, plymouth, grubby, dracut",From usr/share/mios/mios.toml [packages.boot].pkgs
packages-boot,sbsigntools,rpm-boot,"Bootloader, plymouth, grubby, dracut",From usr/share/mios/mios.toml [packages.boot].pkgs
packages-boot,tpm2-tss,rpm-boot,"Bootloader, plymouth, grubby, dracut",From usr/share/mios/mios.toml [packages.boot].pkgs
packages-build-toolchain,make,rpm-build-toolchain,(uncategorized),From usr/share/mios/mios.toml [packages.build-toolchain].pkgs
packages-build-toolchain,gcc,rpm-build-toolchain,(uncategorized),From usr/share/mios/mios.toml [packages.build-toolchain].pkgs
packages-build-toolchain,gcc-c++,rpm-build-toolchain,(uncategorized),From usr/share/mios/mios.toml [packages.build-toolchain].pkgs
packages-build-toolchain,cmake,rpm-build-toolchain,(uncategorized),From usr/share/mios/mios.toml [packages.build-toolchain].pkgs
packages-build-toolchain,golang,rpm-build-toolchain,(uncategorized),From usr/share/mios/mios.toml [packages.build-toolchain].pkgs
packages-build-toolchain,selinux-policy-devel,rpm-build-toolchain,(uncategorized),From usr/share/mios/mios.toml [packages.build-toolchain].pkgs
packages-build-toolchain,binutils,rpm-build-toolchain,(uncategorized),From usr/share/mios/mios.toml [packages.build-toolchain].pkgs
packages-build-toolchain,pkgconf-pkg-config,rpm-build-toolchain,(uncategorized),From usr/share/mios/mios.toml [packages.build-toolchain].pkgs
packages-ceph,ceph-common,rpm-ceph,Ceph client/server packages,From usr/share/mios/mios.toml [packages.ceph].pkgs
packages-ceph,cephadm,rpm-ceph,Ceph client/server packages,From usr/share/mios/mios.toml [packages.ceph].pkgs
packages-ceph,ceph-fuse,rpm-ceph,Ceph client/server packages,From usr/share/mios/mios.toml [packages.ceph].pkgs
packages-ceph,ceph-selinux,rpm-ceph,Ceph client/server packages,From usr/share/mios/mios.toml [packages.ceph].pkgs
packages-cockpit,cockpit,rpm-mgmt,Cockpit web management,From usr/share/mios/mios.toml [packages.cockpit].pkgs
packages-cockpit,cockpit-system,rpm-mgmt,Cockpit web management,From usr/share/mios/mios.toml [packages.cockpit].pkgs
packages-cockpit,cockpit-ws,rpm-mgmt,Cockpit web management,From usr/share/mios/mios.toml [packages.cockpit].pkgs
packages-cockpit,cockpit-bridge,rpm-mgmt,Cockpit web management,From usr/share/mios/mios.toml [packages.cockpit].pkgs
packages-cockpit,cockpit-storaged,rpm-mgmt,Cockpit web management,From usr/share/mios/mios.toml [packages.cockpit].pkgs
packages-cockpit,cockpit-networkmanager,rpm-mgmt,Cockpit web management,From usr/share/mios/mios.toml [packages.cockpit].pkgs
packages-cockpit,cockpit-podman,rpm-mgmt,Cockpit web management,From usr/share/mios/mios.toml [packages.cockpit].pkgs
packages-cockpit,cockpit-machines,rpm-mgmt,Cockpit web management,From usr/share/mios/mios.toml [packages.cockpit].pkgs
packages-cockpit,cockpit-ostree,rpm-mgmt,Cockpit web management,From usr/share/mios/mios.toml [packages.cockpit].pkgs
packages-cockpit,cockpit-selinux,rpm-mgmt,Cockpit web management,From usr/share/mios/mios.toml [packages.cockpit].pkgs
