# path	start_line	end_line	lines	words	sha12	class	reason	as	stale	landed_doc	landed_anchor	landed_words	pruned
.devcontainer/install-root-overlay.sh	1	3	3	30	094931fbe262	STAY	ai-header		0				0
.forgejo/workflows/build-mios.yml	1	2	2	29	8b45543fe71c	STAY	ai-header		0				0
.forgejo/workflows/build-mios.yml	1	18	18	147	a58a0dbdcdd6	STAY	ai-header		0	usr/share/doc/mios/manual/_harvest/_forgejo_workflows_build_mios_yml.md	mios-src:a58a0dbdcdd6	147	1
.forgejo/workflows/build-mios.yml	17	22	6	63	1328de9fd76a	MIGRATE	narrative-rationale		0	usr/share/doc/mios/manual/_harvest/_forgejo_workflows_build-mios_yml.md	mios-src:1328de9fd76a	63	1
.forgejo/workflows/build-mios.yml	23	25	3	28	6ad013c0a69b	STAY	midsize-why		0				0
.forgejo/workflows/build-mios.yml	36	38	3	27	a113c471fd31	STAY	midsize-why		0				0
.forgejo/workflows/build-mios.yml	43	44	2	15	a3c478469cd8	STAY	local-scoped		0				0
.forgejo/workflows/build-mios.yml	80	80	1	12	4cb2be3fa5db	STAY	local-scoped		0				0
.forgejo/workflows/build-mios.yml	95	97	3	31	d255aa36368b	STAY	midsize-why		0				0
.forgejo/workflows/build-mios.yml	102	103	2	23	574a3e5e9dca	STAY	local-scoped		0				0
.forgejo/workflows/build-mios.yml	106	106	1	11	e25dd631f9a4	STAY	local-scoped		0				0
.forgejo/workflows/build-mios.yml	118	118	1	8	a88aee412b8c	STAY	inline-scoped		0				0
.forgejo/workflows/build-mios.yml	121	121	1	3	c8f82965cee6	STAY	inline-scoped		0				0
.forgejo/workflows/build-mios.yml	132	139	8	79	9b1abfdb404e	MIGRATE	narrative-rationale		0	usr/share/doc/mios/manual/_harvest/_forgejo_workflows_build-mios_yml.md	mios-src:9b1abfdb404e	79	1
.forgejo/workflows/build-mios.yml	134	135	2	15	99d2d210b8b8	STAY	local-scoped		0				0
.forgejo/workflows/build-mios.yml	138	138	1	3	ee573bae3b99	STAY	local-scoped		0				0
.forgejo/workflows/build-mios.yml	169	172	4	34	147551906b1c	MIGRATE	midsize-narrative		0	usr/share/doc/mios/manual/_harvest/_forgejo_workflows_build-mios_yml.md	mios-src:147551906b1c	34	1
.forgejo/workflows/build-mios.yml	188	192	5	36	c8be1fb9930b	MIGRATE	midsize-narrative		0	usr/share/doc/mios/manual/_harvest/_forgejo_workflows_build-mios_yml.md	mios-src:c8be1fb9930b	36	1
.forgejo/workflows/url-probe.yml	1	1	1	9	3ef29e95a62a	STAY	ai-header		0				0
.github/workflows/mios-ci.yml	1	2	2	28	2588ab240797	STAY	ai-header		0				0
.github/workflows/mios-ci.yml	1	2	2	37	1143953e3ced	STAY	ai-header		0	usr/share/doc/mios/manual/_harvest/_github_workflows_mios_ci_yml.md	mios-src:1143953e3ced	37	1
.github/workflows/mios-ci.yml	5	13	9	67	dc685a024553	MIGRATE	narrative-history		0	usr/share/doc/mios/manual/_harvest/_github_workflows_mios-ci_yml.md	mios-src:dc685a024553	67	1
.github/workflows/mios-ci.yml	14	14	1	12	78a30bd5ce80	STAY	local-scoped		0				0
.github/workflows/mios-ci.yml	24	27	4	41	e0dc75f24424	STAY	midsize-why		0				0
.github/workflows/mios-ci.yml	30	48	19	193	c90f747b0a61	MIGRATE	narrative-rationale		0	usr/share/doc/mios/manual/_harvest/_github_workflows_mios-ci_yml.md	mios-src:c90f747b0a61	193	1
.github/workflows/mios-ci.yml	42	45	4	41	22d542da35ac	STAY	midsize-why		0				0
.github/workflows/mios-ci.yml	56	57	2	15	a3c478469cd8	STAY	local-scoped		0				0
.github/workflows/mios-ci.yml	81	82	2	23	332cf534b456	STAY	local-scoped		0				0
