# NN	kind	name	file	oneline
01	script	system-files-overlay	automation/01-system-files-overlay.sh	MIOS_APPLY_CLASS=universal
02	script	materialize-build-ctx	automation/02-materialize-build-ctx.sh	MIOS_APPLY_CLASS=bake-only
04	script	local-rpm-mirror	automation/04-local-rpm-mirror.sh	local rpm mirror
05	script	repos	automation/05-repos.sh	MIOS_APPLY_CLASS=universal
06	script	enable-external-repos	automation/06-enable-external-repos.sh	MIOS_APPLY_CLASS=universal
07	script	kernel	automation/07-kernel.sh	MIOS_APPLY_CLASS=universal
10	script	locale-theme	automation/10-locale-theme.sh	MIOS_APPLY_CLASS=universal
11	script	user	automation/11-user.sh	MIOS_APPLY_CLASS=universal
12	script	hostname	automation/12-hostname.sh	MIOS_APPLY_CLASS=universal
13	script	accounts-db	automation/13-accounts-db.sh	MIOS_APPLY_CLASS=universal
14	script	podman-machine-compat	automation/14-podman-machine-compat.sh	MIOS_APPLY_CLASS=dev-only
15	script	freeipa-client	automation/15-freeipa-client.sh	MIOS_APPLY_CLASS=universal
20	script	hardware	automation/20-hardware.sh	MIOS_APPLY_CLASS=universal
21	script	virt	automation/21-virt.sh	MIOS_APPLY_CLASS=universal
22	script	akmod-guards	automation/22-akmod-guards.sh	MIOS_APPLY_CLASS=universal
23	script	gpu-passthrough	automation/23-gpu-passthrough.sh	MIOS_APPLY_CLASS=universal
24	script	gpu-pv-shim	automation/24-gpu-pv-shim.sh	MIOS_APPLY_CLASS=dev-only
25	script	gpu-cdi-toolkits	automation/25-gpu-cdi-toolkits.sh	MIOS_APPLY_CLASS=universal
26	script	nvidia-cdi-refresh	automation/26-nvidia-cdi-refresh.sh	MIOS_APPLY_CLASS=universal
27	script	vm-gating	automation/27-vm-gating.sh	MIOS_APPLY_CLASS=universal
33	script	generate-quadlets	automation/33-generate-quadlets.sh	MIOS_APPLY_CLASS=universal
34	script	render-quadlets	automation/34-render-quadlets.sh	MIOS_APPLY_CLASS=universal
35	script	render-ports	automation/35-render-ports.sh	MIOS_APPLY_CLASS=universal
36	script	ceph-k3s	automation/36-ceph-k3s.sh	MIOS_APPLY_CLASS=universal
37	script	k3s-selinux	automation/37-k3s-selinux.sh	MIOS_APPLY_CLASS=bake-only
38	script	selinux	automation/38-selinux.sh	MIOS_APPLY_CLASS=universal
39	script	moby-engine	automation/39-moby-engine.sh	MIOS_APPLY_CLASS=universal
40	script	fapolicyd-trust	automation/40-fapolicyd-trust.sh	MIOS_APPLY_CLASS=universal
41	script	services	automation/41-services.sh	MIOS_APPLY_CLASS=universal
42	script	chrony-render	automation/42-chrony-render.sh	MIOS_APPLY_CLASS=universal
43	script	nut-render	automation/43-nut-render.sh	MIOS_APPLY_CLASS=universal
44	script	firewall-ports	automation/44-firewall-ports.sh	MIOS_APPLY_CLASS=universal
45	script	firewall	automation/45-firewall.sh	MIOS_APPLY_CLASS=universal
46	script	sshd-port	automation/46-sshd-port.sh	MIOS_APPLY_CLASS=universal
47	script	init-service	automation/47-init-service.sh	MIOS_APPLY_CLASS=universal
48	script	mios-dropin-fanout	automation/48-mios-dropin-fanout.sh	MIOS_APPLY_CLASS=universal
49	script	cosign-policy	automation/49-cosign-policy.sh	MIOS_APPLY_CLASS=universal
50	script	uupd-installer	automation/50-uupd-installer.sh	MIOS_APPLY_CLASS=universal
51	script	hardening	automation/51-hardening.sh	MIOS_APPLY_CLASS=universal
52	script	apply-boot-fixes	automation/52-apply-boot-fixes.sh	MIOS_APPLY_CLASS=universal
53	script	enable-log-copy-service	automation/53-enable-log-copy-service.sh	MIOS_APPLY_CLASS=bake-only
54	script	bake-coderun-sandbox	automation/54-bake-coderun-sandbox.sh	bake coderun sandbox
56	script	fonts	automation/56-fonts.sh	MIOS_APPLY_CLASS=universal
57	script	gnome	automation/57-gnome.sh	MIOS_APPLY_CLASS=universal
58	script	gnome-remote-desktop	automation/58-gnome-remote-desktop.sh	MIOS_APPLY_CLASS=universal
59	script	tools	automation/59-tools.sh	MIOS_APPLY_CLASS=universal
60	script	flatpak-env	automation/60-flatpak-env.sh	MIOS_APPLY_CLASS=universal
61	script	flatpak-bake	automation/61-flatpak-bake.sh	MIOS_APPLY_CLASS=universal
62	script	oh-my-posh	automation/62-oh-my-posh.sh	MIOS_APPLY_CLASS=universal
65	script	bake-hyprland	automation/65-bake-hyprland.sh	MIOS_APPLY_CLASS=universal
66	script	bake-quickshell	automation/66-bake-quickshell.sh	MIOS_APPLY_CLASS=bake-only
67	script	bake-surfer	automation/67-bake-surfer.sh	MIOS_APPLY_CLASS=bake-only
68	script	bake-kvmfr	automation/68-bake-kvmfr.sh	MIOS_APPLY_CLASS=bake-only
69	script	bake-lookingglass-client	automation/69-bake-lookingglass-client.sh	MIOS_APPLY_CLASS=bake-only
72	script	hermes-agent	automation/72-hermes-agent.sh	MIOS_APPLY_CLASS=universal
73	script	model-prep	automation/73-model-prep.sh	MIOS_APPLY_CLASS=universal
75	script	kargs-render	automation/75-kargs-render.sh	MIOS_APPLY_CLASS=bake-only
76	script	uki-render	automation/76-uki-render.sh	MIOS_APPLY_CLASS=bake-only
77	script	composefs-verity	automation/77-composefs-verity.sh	MIOS_APPLY_CLASS=bake-only
78	script	greenboot	automation/78-greenboot.sh	MIOS_APPLY_CLASS=bake-only
79	script	boot-config	automation/79-boot-config.sh	MIOS_APPLY_CLASS=boot-only
80	script	distribution	automation/80-distribution.sh	distribution
85	script	bake-plan	automation/85-bake-plan.sh	MIOS_APPLY_CLASS=bake-only
86	script	oscap-compliance	automation/86-oscap-compliance.sh	MIOS_APPLY_CLASS=bake-only
88	script	finalize	automation/88-finalize.sh	MIOS_APPLY_CLASS=bake-only
90	script	generate-sbom	automation/90-generate-sbom.sh	MIOS_APPLY_CLASS=bake-only
91	script	strip-build-toolchain	automation/91-strip-build-toolchain.sh	MIOS_APPLY_CLASS=bake-only
94	script	cleanup	automation/94-cleanup.sh	MIOS_APPLY_CLASS=bake-only
97	script	ssot-lint	automation/97-ssot-lint.sh	MIOS_APPLY_CLASS=universal
98	script	drift-checks	automation/98-drift-checks.sh	MIOS_APPLY_CLASS=universal
99	script	postcheck	automation/99-postcheck.sh	MIOS_APPLY_CLASS=universal
