Value	Count	Classification	Keys
true	200	intentional-many-to-one	MIOS_A2O_LANE_B_PREFER_FALLBACK,MIOS_ACCOUNTS_DB_BACKED,MIOS_AGENTS_AI_LOCAL_HEALTH_GATE,MIOS_AGENTS_HERMES_HEALTH_GATE,MIOS_AGENTS_MIOS_DAEMON_AGENT_FANOUT,MIOS_AGENTS_MIOS_DAEMON_AGENT_HEALTH_GATE,MIOS_AGENTS_OPENCODE_ENABLED,MIOS_AGENTS_OPENCODE_FANOUT,MIOS_AGENTS_OPENCODE_HEALTH_GATE,MIOS_AGENTS__DEFAULTS_ENABLED,MIOS_AGENTS__DEFAULTS_FANOUT,MIOS_AGENT_PIPE_CLIENT_TOOLS_PASSTHROUGH,MIOS_AGENT_PIPE_ENABLE,MIOS_AGENT_PIPE_QUALITY_CHECK_EMPTY,MIOS_AGENT_PIPE_QUALITY_CHECK_JSON,MIOS_AGENT_PIPE_QUALITY_CHECK_PUNT,MIOS_AGENT_PIPE_REFLEXION_ENABLE,MIOS_ANTIFAB_ENABLE,MIOS_AUDIT_CHAIN_ENABLE,MIOS_BRANDING_DASHBOARD_SHOW_FASTFETCH,MIOS_BRANDING_DASHBOARD_SHOW_LOGO,MIOS_BRANDING_LIVING_WALLPAPER,MIOS_BROWSER_AI_ENABLE,MIOS_BUILD_CURL_TRIGGER_FALLBACK,MIOS_CEPHFS_AUTOMOUNT_ENABLE,MIOS_COCKPIT_ALLOW_UNENCRYPTED,MIOS_CODEMODE_ENABLE,MIOS_CODEMODE_HEAVY_LANE_ONLY,MIOS_CODE_MODE_ENABLE,MIOS_CODE_MODE_HEAVY_LANE_ONLY,MIOS_COMPUTER_USE_DOCGEN_ENABLE,MIOS_COMPUTER_USE_ENABLE,MIOS_COMPUTER_USE_REQUIRE_APPROVAL,MIOS_COMPUTER_USE_VERIFY_AFTER_ACT,MIOS_CONV_INFERENCE_RETIRE_HEAVY_ALT,MIOS_COST_ENABLE,MIOS_CRAWL_CAMOUFOX,MIOS_DAEMON_INDEX_ENABLE,MIOS_DASHBOARD_SHOW_SERVICES,MIOS_DASHBOARD_SHOW_TITLE,MIOS_DASHBOARD_SHOW_VERB_HINTS,MIOS_DEPLOYMENT_TARGET_ANACONDA_ISO,MIOS_DEPLOYMENT_TARGET_ISO,MIOS_DEPLOYMENT_TARGET_QCOW2,MIOS_DEPLOYMENT_TARGET_RAW,MIOS_DEPLOYMENT_TARGET_VHD,MIOS_DISPATCH_ADMIT_ENABLE,MIOS_DISPATCH_COUNCIL_DEFAULT,MIOS_DISPATCH_DAG_EMPTY_NATIVE_FALLBACK,MIOS_DISPATCH_DEEPEN_ENABLED,MIOS_DISPATCH_DEEPEN_FETCH,MIOS_DISPATCH_ENABLE,MIOS_DISPATCH_KV_GC_ENABLE,MIOS_DISPATCH_KV_PAGING_ENABLE,MIOS_DISPATCH_NATIVE_LOOP_DATE_ANCHOR,MIOS_DISPATCH_NATIVE_LOOP_DATE_IN_QUERY,MIOS_DISPATCH_NATIVE_LOOP_MATH_HINT,MIOS_DISPATCH_NATIVE_LOOP_QUERY_REFORMULATE,MIOS_DISPATCH_PRIORITY_QUEUE_ENABLE,MIOS_DISPATCH_RUNAWAY_REAP,MIOS_DISPATCH_STABLE_TOOL_PREFIX,MIOS_DISPATCH_SWARM_SATURATE,MIOS_DISPATCH_SWARM_TRUST_ATOMIC,MIOS_DISPATCH_TOOL_RERANK,MIOS_DISPATCH_TRACE_ENABLE,MIOS_DISPATCH_WORKER_MCP_TOOLS,MIOS_EDITIONS_MIOS_XBOX_ARM_AUTOUNATTEND_XBOX_ENABLE,MIOS_EDITIONS_MIOS_XBOX_ARM_BRANDING_LIVING_WALLPAPER,MIOS_EDITIONS_MIOS_XBOX_AUTOUNATTEND_XBOX_ENABLE,MIOS_EDITIONS_MIOS_XBOX_BRANDING_LIVING_WALLPAPER,MIOS_ENHANCED_SESSION_ENABLED,MIOS_FINETUNE_ENABLE,MIOS_FINETUNE_GGUF_CONVERT,MIOS_FINETUNE_GRAD_CHECKPOINTING,MIOS_FINETUNE_INCLUDE_KNOWLEDGE,MIOS_FINETUNE_PREFER_UNSLOTH,MIOS_FLATPAK_NONINTERACTIVE,MIOS_FLATPAK_PREFER_BETA,MIOS_FRONTIER_LANE_B_PREFER_FALLBACK,MIOS_GITCONFIG_PULL_REBASE,MIOS_GPU_VENDORS_AMD,MIOS_GPU_VENDORS_INTEL,MIOS_GPU_VENDORS_NVIDIA,MIOS_GRAPHICS_DISABLE_VULKAN,MIOS_HERMES_ENABLE,MIOS_HITL_ENABLE,MIOS_HWCAPS_LD_SO_HWCAPS_AUTOSELECT,MIOS_KNOWLEDGE_EVICT_ENABLE,MIOS_KNOWLEDGE_STORE_SKIP_VOLATILE,MIOS_LANES_LIGHT_CONSTRAINED_TOOLS,MIOS_LANES_LIGHT_STREAM_THINKING,MIOS_LANES_SGLANG_CONSTRAINED_TOOLS,MIOS_LANES_SGLANG_STREAM_THINKING,MIOS_LANES_VLLM_CONSTRAINED_TOOLS,MIOS_LANES_VLLM_STREAM_THINKING,MIOS_LLAMACPP_ENABLE,MIOS_MEMORY_KV_SLOT_PERSIST,MIOS_MINI_BIND_DGPU_VFIO,MIOS_MINI_MESH_SWTPM_VTPM,MIOS_NETWORK_ALLOW_COCKPIT,MIOS_NETWORK_ALLOW_LIBVIRT_BRIDGE,MIOS_NETWORK_ALLOW_SSH,MIOS_NODES_LOCAL_CPU_HEALTH_GATE,MIOS_NODES_LOCAL_DGPU_HEALTH_GATE,MIOS_NODES_LOCAL_LLAMASWAP_HEALTH_GATE,MIOS_NODES_LOCAL_SGLANG_HEALTH_GATE,MIOS_NODES_LOCAL_VLLM_HEALTH_GATE,MIOS_OBSERVABILITY_DEBUG,MIOS_OS_CONTROL_FOCUS_AFTER_LAUNCH,MIOS_OS_CONTROL_REGION_SNAP_HALVES,MIOS_OS_CONTROL_RESTORE_IF_RUNNING,MIOS_PASSPORT_ENABLE,MIOS_PGVECTOR_BACKUP_ENABLE,MIOS_PGVECTOR_ENABLE,MIOS_PGVECTOR_LISTEN_LOOPBACK,MIOS_PGVECTOR_SCRATCH_PERSIST,MIOS_PG_BACKUP_ENABLE,MIOS_PG_ENABLE,MIOS_PG_LISTEN_LOOPBACK,MIOS_PG_SCRATCH_PERSIST,MIOS_PIPELINE_INVARIANTS_CHECK_DENSE,MIOS_PIPELINE_INVARIANTS_CHECK_DERIVED,MIOS_PIPELINE_INVARIANTS_LABEL_NOT_STALE,MIOS_PIPELINE_INVARIANTS_MAP_IN_SYNC,MIOS_PIPELINE_INVARIANTS_PREFIX_IN_BAND,MIOS_PIPELINE_INVARIANTS_PREFIX_UNIQUE,MIOS_PIPELINE_INVARIANTS_SINGLE_PROGRESS,MIOS_POLISH_ENABLE,MIOS_PORTAL_REQUIRE_LOGIN,MIOS_PREFLIGHT_REQUIRE_ADMIN,MIOS_PREFLIGHT_REQUIRE_VIRT,MIOS_QUADLETS_ENABLE_MIOS_ADGUARD,MIOS_QUADLETS_ENABLE_MIOS_CEPH,MIOS_QUADLETS_ENABLE_MIOS_FORGE,MIOS_QUADLETS_ENABLE_MIOS_GUACAMOLE,MIOS_QUADLETS_ENABLE_MIOS_GUACD,MIOS_QUADLETS_ENABLE_MIOS_K3S,MIOS_QUADLETS_ENABLE_MIOS_OPEN_WEBUI,MIOS_QUADLETS_ENABLE_MIOS_PXE_HUB,MIOS_REFINE_ENABLE,MIOS_ROUTER_ENABLE,MIOS_ROUTING_ROUTER_ENABLE,MIOS_RUN_TEMPLATE_ENABLE,MIOS_SEARCH_ENABLE,MIOS_SERVICES_WEBTOOLS_CAMOUFOX,MIOS_SGLANG_ENABLE_HIERARCHICAL_CACHE,MIOS_SGLANG_ENABLE_UNIFIED_RADIX_TREE,MIOS_SKILLS_ENABLE,MIOS_STORAGE_CEPHFS_AUTOMOUNT_ENABLE,MIOS_TEMPLATES_ADR_REQUIRED_HEADER,MIOS_TEMPLATES_ADR_SCAFFOLD,MIOS_TEMPLATES_AUTOMATION_STEP_REQUIRED_HEADER,MIOS_TEMPLATES_AUTOMATION_STEP_SCAFFOLD,MIOS_TEMPLATES_BASH_REQUIRED_HEADER,MIOS_TEMPLATES_BASH_SCAFFOLD,MIOS_TEMPLATES_BASH_TOOL_REQUIRED_HEADER,MIOS_TEMPLATES_BASH_TOOL_SCAFFOLD,MIOS_TEMPLATES_BASH_VERB_REQUIRED_HEADER,MIOS_TEMPLATES_BASH_VERB_SCAFFOLD,MIOS_TEMPLATES_DRIFT_CHECK_REQUIRED_HEADER,MIOS_TEMPLATES_DRIFT_CHECK_SCAFFOLD,MIOS_TEMPLATES_JSON_SCHEMA_SCAFFOLD,MIOS_TEMPLATES_MARKDOWN_DOC_REQUIRED_HEADER,MIOS_TEMPLATES_MARKDOWN_DOC_SCAFFOLD,MIOS_TEMPLATES_POWERSHELL_REQUIRED_HEADER,MIOS_TEMPLATES_POWERSHELL_SCAFFOLD,MIOS_TEMPLATES_PYTHON_MODULE_REQUIRED_HEADER,MIOS_TEMPLATES_PYTHON_MODULE_SCAFFOLD,MIOS_TEMPLATES_PYTHON_TEST_REQUIRED_HEADER,MIOS_TEMPLATES_PYTHON_TEST_SCAFFOLD,MIOS_TEMPLATES_PYTHON_TOOL_REQUIRED_HEADER,MIOS_TEMPLATES_PYTHON_TOOL_SCAFFOLD,MIOS_TEMPLATES_QUADLET_GENERATED,MIOS_TEMPLATES_QUADLET_REQUIRED_HEADER,MIOS_TEMPLATES_QUADLET_SCAFFOLD,MIOS_TEMPLATES_ROADMAP_REQUIRED_HEADER,MIOS_TEMPLATES_ROADMAP_SCAFFOLD,MIOS_TEMPLATES_ROADMAP_WS_REQUIRED_HEADER,MIOS_TEMPLATES_ROADMAP_WS_SCAFFOLD,MIOS_TEMPLATES_RUST_REQUIRED_HEADER,MIOS_TEMPLATES_RUST_SCAFFOLD,MIOS_TEMPLATES_SYSTEMD_UNIT_REQUIRED_HEADER,MIOS_TEMPLATES_SYSTEMD_UNIT_SCAFFOLD,MIOS_TEMPLATES_TOML_CONFIG_REQUIRED_HEADER,MIOS_TEMPLATES_TOML_CONFIG_SCAFFOLD,MIOS_TEMPLATES_TYPESCRIPT_REQUIRED_HEADER,MIOS_TEMPLATES_TYPESCRIPT_SCAFFOLD,MIOS_TEMPLATES_YAML_REQUIRED_HEADER,MIOS_TEMPLATES_YAML_SCAFFOLD,MIOS_TTYD_ENABLE,MIOS_TTYD_REQUIRE_AUTH,MIOS_TTYD_WRITABLE,MIOS_VERITY_ANTIFAB_ENABLE,MIOS_VLLM_PREFIX_CACHING,MIOS_VLLM_USE_V1,MIOS_WORKER_TOOLS_TOOL_PRIORITY_CORE_FIRST,MIOS_WSL2_AUTO_PROXY,MIOS_WSL2_DNS_TUNNELING,MIOS_WSL2_GUI_APPLICATIONS,MIOS_WSL2_LOCALHOST_FORWARDING
false	109	intentional-many-to-one	MIOS_A2A_COUNCIL,MIOS_A2A_MDNS_ADVERTISE,MIOS_A2A_MDNS_DISCOVERY,MIOS_A2A_ROUTE_ON_CARD_SKILLS,MIOS_A2O_STREAM_REASONING,MIOS_ACCOUNTS_DB_RENDER_PREFS,MIOS_ADMISSION_MULTIBLADE_ENABLE,MIOS_ADMISSION_TENANT_QUOTA_ENABLE,MIOS_AGENTS_AI_LOCAL_DEFAULT,MIOS_AGENTS_HERMES_DEFAULT,MIOS_AGENTS_HERMES_FANOUT,MIOS_AGENTS_MIOS_DAEMON_AGENT_DEFAULT,MIOS_AGENTS_OPENCODE_DEFAULT,MIOS_AGENTS__DEFAULTS_DEFAULT,MIOS_AGENTS__DEFAULTS_HEALTH_GATE,MIOS_AGENTS__DEFAULTS_RESEARCH_ONLY,MIOS_AGENTS__DEFAULTS_TRUST_MTLS,MIOS_AGENTS__DEFAULTS_TRUST_REQUIRE_SIGNED_PRINCIPAL,MIOS_AGENT_PIPE_COUNCIL_AGGREGATOR_BYPASS,MIOS_AGENT_PIPE_COUNCIL_DIVERSITY_GATE,MIOS_CEPHFS_ENABLE,MIOS_COCKPIT_LOGIN_TO,MIOS_CODEMODE_ALLOW_NET,MIOS_CODE_MODE_ALLOW_NET,MIOS_COMPLIANCE_ENABLED,MIOS_COMPLIANCE_FETCH_REMOTE_RESOURCES,MIOS_COMPLIANCE_REMEDIATE,MIOS_CONV_IMAGE_DISTROLESS_ENABLE,MIOS_CONV_IMAGE_MCP_POOL_ENABLE,MIOS_CONV_IMAGE_RECHUNK_ENABLE,MIOS_CONV_INFERENCE_VLLM_ALLOW_RUNTIME_LORA,MIOS_CONV_MEMORY_COLD_EVICT_ENABLE,MIOS_CONV_MEMORY_SQLITE_VEC_ENABLE,MIOS_COUNCIL_AGGREGATOR_BYPASS,MIOS_COUNCIL_DIVERSITY_GATE,MIOS_DAEMON_PRESSURE_SKIP,MIOS_DASHBOARD_SHOW_LOGO,MIOS_DB_RLS_ENABLE,MIOS_DCI_FLOW_ENABLED,MIOS_DEPLOYMENT_TARGET_AMI,MIOS_DEPLOYMENT_TARGET_GCE,MIOS_DEPLOYMENT_TARGET_OVA,MIOS_DEPLOYMENT_TARGET_PXE_TAR_XZ,MIOS_DEPLOYMENT_TARGET_VMDK,MIOS_DISPATCH_BATCH_ENABLE,MIOS_DISPATCH_CUA_ENABLE,MIOS_DISPATCH_DEEPEN_EARLY_EXIT,MIOS_DISPATCH_KERNEL_ROUTE,MIOS_DISPATCH_KV_FORK_ENABLE,MIOS_DISPATCH_NODES_RESEARCH_ONLY,MIOS_DISPATCH_OFFLOAD_CPU,MIOS_DISPATCH_RR_ENABLE,MIOS_DISPATCH_SANDBOX_ENFORCE,MIOS_DISPATCH_SLO_SHED_ENABLE,MIOS_DISPATCH_STABLE_PREFIX_HINT,MIOS_DISPATCH_VRAM_RECLAIM_IDLE,MIOS_EDITIONS_MIOS_AUTOUNATTEND_XBOX_ENABLE,MIOS_EDITIONS_MIOS_BRANDING_LIVING_WALLPAPER,MIOS_FAPOLICYD_OBSERVE_ENABLE,MIOS_FRONTIER_STREAM_TO_REASONING,MIOS_GATEWAY_ENABLE,MIOS_GRAPHICS_FORCE_SOFTWARE_GL,MIOS_HWCAPS_NATIVE_REBUILD,MIOS_IDENTITY_IPA_ENABLED,MIOS_KNOWLEDGE_EVICT_DRYRUN,MIOS_MINI_ENABLED,MIOS_MINI_MESH_ENABLED,MIOS_OBSERVABILITY_OTEL_ENABLE,MIOS_OBSERVABILITY_RECORD_MODE,MIOS_OBSERVABILITY_REPLAY_MODE,MIOS_PASSPORT_VERIFY_ON_READ,MIOS_PGVECTOR_POOL_ENABLE,MIOS_PGVECTOR_RLS_ENABLE,MIOS_PG_POOL_ENABLE,MIOS_QUADLETS_ENABLE_MIOS_CODE_SERVER,MIOS_RELIABILITY_GATE_ENABLED,MIOS_SANDBOX_ENABLE,MIOS_SCHEDULER_PREEMPT_ENABLE,MIOS_SCHEDULER_QUEUE_ENABLE,MIOS_SECURITY_PROVENANCE_TAINT,MIOS_SELFIMPROVE_ACT_ENABLED,MIOS_SELFIMPROVE_REQUIRE_IMPROVEMENT,MIOS_SGLANG_ENABLE,MIOS_STORAGE_CEPHFS_ENABLE,MIOS_TEMPLATES_ADR_GENERATED,MIOS_TEMPLATES_AUTOMATION_STEP_GENERATED,MIOS_TEMPLATES_BASH_GENERATED,MIOS_TEMPLATES_BASH_TOOL_GENERATED,MIOS_TEMPLATES_BASH_VERB_GENERATED,MIOS_TEMPLATES_DRIFT_CHECK_GENERATED,MIOS_TEMPLATES_JSON_SCHEMA_GENERATED,MIOS_TEMPLATES_JSON_SCHEMA_REQUIRED_HEADER,MIOS_TEMPLATES_MARKDOWN_DOC_GENERATED,MIOS_TEMPLATES_POWERSHELL_GENERATED,MIOS_TEMPLATES_PYTHON_MODULE_GENERATED,MIOS_TEMPLATES_PYTHON_TEST_GENERATED,MIOS_TEMPLATES_PYTHON_TOOL_GENERATED,MIOS_TEMPLATES_ROADMAP_GENERATED,MIOS_TEMPLATES_ROADMAP_WS_GENERATED,MIOS_TEMPLATES_RUST_GENERATED,MIOS_TEMPLATES_SYSTEMD_UNIT_GENERATED,MIOS_TEMPLATES_TOML_CONFIG_GENERATED,MIOS_TEMPLATES_TYPESCRIPT_GENERATED,MIOS_TEMPLATES_YAML_GENERATED,MIOS_TTYD_TAILNET_EXPOSE,MIOS_UKI_VERITY_BUILD,MIOS_UKI_VERITY_UKI_BUILD,MIOS_VLLM_ENABLE,MIOS_WSL2_FIREWALL
2	22	distinct-configurable-fact	MIOS_AGENT_PIPE_NO_PROGRESS_WINDOW,MIOS_AGENT_PIPE_REFLEXION_LIMIT,MIOS_DEV_VM_CPU_RESERVE_MIN,MIOS_DISPATCH_AUTONOMY_MAX_DISPATCH_DEPTH,MIOS_DISPATCH_DEFAULT_HOP_BUDGET,MIOS_DISPATCH_LANE_CONCURRENCY_CPU,MIOS_DISPATCH_LANE_CONCURRENCY_GPU,MIOS_DISPATCH_SWARM_MAX_CPU_NODES,MIOS_FIND_CATEGORY_PRIORITY_WINDOWS_GUI,MIOS_FIND_RANKER_FUZZY_MAX_EDIT_DISTANCE,MIOS_FINETUNE_BATCH_SIZE,MIOS_FINETUNE_EPOCHS,MIOS_FIRECRAWL_WORKERS,MIOS_SCHED_COMPLEXITY_HINTS_DIVISOR,MIOS_SCHED_SCORE_ROUND_NDIGITS,MIOS_SCHED_URGENCY_LOW,MIOS_SELFIMPROVE_PASSHAT_K,MIOS_SERVICES_WEBTOOLS_FIRECRAWL_WORKERS,MIOS_SKILLS_MIN_LENGTH,MIOS_WEB_RESEARCH_ANCHOR_WEIGHT,MIOS_WEB_RESEARCH_MIN_SCORE,MIOS_WEB_RESEARCH_SLUG_WEIGHT
0	20	intentional-many-to-one	MIOS_ADMISSION_TENANT_MAX_CONCURRENCY,MIOS_AGENTS__DEFAULTS_TIMEOUT_S,MIOS_AI_TAG_MAX_UNCONFORMING,MIOS_COCKPIT_IDLE_TIMEOUT,MIOS_CONV_INFERENCE_LLAMA_CACHE_REUSE_TOKENS,MIOS_DISPATCH_KV_PAGING_SLOT,MIOS_GOSSIP_INTERVAL_MIN,MIOS_OS_CONTROL_DEFAULT_MONITOR,MIOS_OS_CONTROL_EDGE_MARGIN_PX,MIOS_PGVECTOR_POOL_MIN,MIOS_PG_POOL_MIN,MIOS_PIPELINE_SPACE_MIN,MIOS_PORTS_STACK_ID,MIOS_PORT_STACK_ID,MIOS_SCHEDULER_PRIORITY_LEVELS,MIOS_SELFIMPROVE_INTERVAL_MIN,MIOS_TERMINAL_RIGHT_MARGIN,MIOS_TTYD_MAX_CLIENTS,MIOS_WSL2_DESKTOP_COMPAT_MOZ_WAYLAND,MIOS_WSLG_MOZ_WAYLAND
3	19	distinct-configurable-fact	MIOS_AGENT_PIPE_MAX_CONSECUTIVE_FAILURES,MIOS_ANTIFAB_MIN_ENTITIES,MIOS_DAEMON_ESCALATION_MAX_ATTEMPTS,MIOS_DISPATCH_AGENT_CONCURRENCY,MIOS_DISPATCH_FANOUT_MAX,MIOS_DISPATCH_LANE_CONCURRENCY,MIOS_DISPATCH_RERANK_FANOUT,MIOS_DISPATCH_SWARM_MAX_WIDTH,MIOS_FIND_CATEGORY_PRIORITY_LINUX_FLATPAK,MIOS_GOSSIP_FANOUT,MIOS_PKG_LOOKUP_MAX_ALIAS_RESULTS,MIOS_REFINE_DISPATCH_ARG_MAX_WORDS,MIOS_RELIABILITY_PASS_AND_K_COUNT,MIOS_SELFIMPROVE_MAX_PROPOSALS_PER_PASS,MIOS_SKILLS_MIN_SUCCESS_SAMPLES,MIOS_SKILLS_MIN_SUPPORT,MIOS_VERITY_ANTIFAB_MIN_ENTITIES,MIOS_WEB_RESEARCH_MAX_ATTEMPTS,MIOS_WEB_RESEARCH_PASSES
mios	19	distinct-configurable-fact	MIOS_AUTH_PASSWORD,MIOS_CEPHFS_TENANT_ID,MIOS_DEFAULT_HOST,MIOS_DEFAULT_PASSWORD,MIOS_DEFAULT_USER,MIOS_FIRECRAWL_BULL_KEY,MIOS_HOSTNAME,MIOS_IDENTITY_DEFAULT_PASSWORD,MIOS_IDENTITY_HOSTNAME,MIOS_IDENTITY_NAME,MIOS_IDENTITY_USERNAME,MIOS_PGVECTOR_DB,MIOS_PGVECTOR_PASS,MIOS_PG_DB,MIOS_PG_PASS,MIOS_PG_USER,MIOS_SERVICES_WEBTOOLS_FIRECRAWL_BULL_KEY,MIOS_STORAGE_CEPHFS_TENANT_ID,MIOS_USER
latest	18	distinct-configurable-fact	MIOS_ADGUARD_VERSION,MIOS_BIB_ALPINE_VERSION,MIOS_CAT_VENTOY_VERSION,MIOS_CODE_SERVER_VERSION,MIOS_CROWDSEC_VERSION,MIOS_GUACAMOLE_VERSION,MIOS_GUACD_VERSION,MIOS_HERMES_VERSION,MIOS_IMAGE_TAG,MIOS_OPENCODE_VERSION,MIOS_OTELCOL_VERSION,MIOS_POSTGRES_VERSION,MIOS_PXE_HUB_VERSION,MIOS_SEARXNG_VERSION,MIOS_SGLANG_VERSION,MIOS_SYS_VERSION,MIOS_VALKEY_VERSION,MIOS_VLLM_VERSION
1	16	intentional-many-to-one	MIOS_BUDGET_AUTONOMOUS_MAX_INFLIGHT,MIOS_CONV_IMAGE_RECHUNK_FORMAT_VERSION,MIOS_CONV_INFERENCE_LLAMA_PARALLEL_SLOTS,MIOS_DAEMON_CRON_MAX_CONCURRENT,MIOS_DISPATCH_DAG_NODE_RETRY,MIOS_DISPATCH_FANOUT_MIN,MIOS_DISPATCH_REQUEST_CANCEL_ENABLE,MIOS_FIND_CATEGORY_PRIORITY_WINDOWS_APP,MIOS_FIND_CATEGORY_PRIORITY_WINDOWS_BROWSER,MIOS_KNOWLEDGE_EVICT_MIN_ACCESS,MIOS_PGVECTOR_HNSW_SCAN_MEM_MULTIPLIER,MIOS_PG_HNSW_SCAN_MEM_MULTIPLIER,MIOS_SCHEDULER_MAX_PREEMPT_DEPTH,MIOS_SCHED_COMPLEXITY_BASE,MIOS_WEB_RESEARCH_DIGIT_WEIGHT,MIOS_WEB_RESEARCH_SEG_BASE
4	14	distinct-configurable-fact	MIOS_CEPHFS_MDS_CACHE_MEMORY_LIMIT_GIB,MIOS_CONV_GATEWAY_WORKER_CONCURRENCY,MIOS_DEV_VM_MEMORY_RESERVE_GB,MIOS_DISPATCH_COUNCIL_MAX,MIOS_DISPATCH_ENDPOINT_CONCURRENCY,MIOS_DISPATCH_KV_FORK_MAX_BRANCHES,MIOS_DISPATCH_LANE_CONCURRENCY_GPU0,MIOS_DISPATCH_RR_MAX_SUSPENDED,MIOS_DISPATCH_STABLE_PREFIX_TAIL,MIOS_FIND_CATEGORY_PRIORITY_LINUX_RPM_GUI,MIOS_FIND_RANKER_FUZZY_MIN_TOKEN_LEN,MIOS_FINETUNE_SEEDS_PER_CAPABILITY,MIOS_SCHEDULER_MAX_SUSPENDED,MIOS_STORAGE_CEPHFS_MDS_CACHE_MEMORY_LIMIT_GIB
hash	14	true-alias	MIOS_TEMPLATES_AUTOMATION_STEP_COMMENT,MIOS_TEMPLATES_BASH_COMMENT,MIOS_TEMPLATES_BASH_TOOL_COMMENT,MIOS_TEMPLATES_BASH_VERB_COMMENT,MIOS_TEMPLATES_DRIFT_CHECK_COMMENT,MIOS_TEMPLATES_JSON_SCHEMA_COMMENT,MIOS_TEMPLATES_POWERSHELL_COMMENT,MIOS_TEMPLATES_PYTHON_MODULE_COMMENT,MIOS_TEMPLATES_PYTHON_TEST_COMMENT,MIOS_TEMPLATES_PYTHON_TOOL_COMMENT,MIOS_TEMPLATES_QUADLET_COMMENT,MIOS_TEMPLATES_SYSTEMD_UNIT_COMMENT,MIOS_TEMPLATES_TOML_CONFIG_COMMENT,MIOS_TEMPLATES_YAML_COMMENT
