path	line	token	class	suggested_ssot_key
Containerfile.hummingbird	4	:3.13	HARDCODED-literal	MIOS_VERSION_SSOT
Containerfile.linttest.bak	1	:1.9	HARDCODED-literal	MIOS_VERSION_SSOT
Containerfile.minimal	1	:1.9	HARDCODED-literal	MIOS_VERSION_SSOT
automation/98-drift-checks.sh	3	:1.7	HARDCODED-literal	MIOS_VERSION_SSOT
automation/98-drift-checks.sh	179	:1.7	HARDCODED-literal	MIOS_VERSION_SSOT
automation/manifest.json	20	stable:/v1.32	SSOT-derived/placeholder	MIOS_K3S_VERSION
automation/manifest.json	20	stable:/v1.32	SSOT-derived/placeholder	MIOS_K3S_VERSION
automation/manifest.json	218	:1.7	SSOT-derived/placeholder	MIOS_VERSION_SSOT
automation/manifest.json	218	:1.7	SSOT-derived/placeholder	MIOS_VERSION_SSOT
automation/manifest.json	218	:1.7	SSOT-derived/placeholder	MIOS_VERSION_SSOT
automation/manifest.json	464	:10.1.1	SSOT-derived/placeholder	MIOS_VERSION_SSOT
automation/manifest.json	662	:0.0	SSOT-derived/placeholder	MIOS_VERSION_SSOT
automation/mios-build-builder.ps1	264	:10.1.1	HARDCODED-literal	MIOS_VERSION_SSOT
automation/support/probe-owui-knowledge-api2.sh	35	:0.0	HARDCODED-literal	MIOS_VERSION_SSOT
build-mios.ps1	379	:6.0	HARDCODED-literal	MIOS_VERSION_SSOT
build-mios.ps1	399	:5.8	HARDCODED-literal	MIOS_VERSION_SSOT
build-mios.ps1	415	:6.0	HARDCODED-literal	MIOS_VERSION_SSOT
build-mios.ps1	1904	:3.8	HARDCODED-literal	MIOS_VERSION_SSOT
build-mios.ps1	2299	:3.8	HARDCODED-literal	MIOS_VERSION_SSOT
build-mios.ps1	2848	:6.0	HARDCODED-literal	MIOS_VERSION_SSOT
build-mios.ps1	2850	:6.0	HARDCODED-literal	MIOS_VERSION_SSOT
build-mios.ps1	2965	:6.0	HARDCODED-literal	MIOS_VERSION_SSOT
etc/mios/containers/coderun-sandbox/Dockerfile	4	:3.20	HARDCODED-literal	MIOS_VERSION_SSOT
etc/mios/containers/coderun-sandbox/Dockerfile	11	:3.20	HARDCODED-literal	MIOS_VERSION_SSOT
images/coderun-sandbox/Containerfile	1	:3.20	HARDCODED-literal	MIOS_VERSION_SSOT
images/coderun-sandbox/Containerfile	8	:3.20	HARDCODED-literal	MIOS_VERSION_SSOT
install-mios-agents.sh	79	:0.3	HARDCODED-literal	MIOS_VERSION_SSOT
installation/MiOS-Mon.py	800	:4.1	HARDCODED-literal	MIOS_VERSION_SSOT
installation/MiOS-Mon.py	805	:4.1	HARDCODED-literal	MIOS_VERSION_SSOT
mios-cloud-build.ps1	60	:0.2.4	HARDCODED-literal	MIOS_VERSION_SSOT
root-manifest.json	34	:0.3.0	SSOT-derived/placeholder	MIOS_VERSION_SSOT
root-manifest.json	34	:0.8.3	SSOT-derived/placeholder	MIOS_VERSION_SSOT
root-manifest.json	34	:0.8.3	SSOT-derived/placeholder	MIOS_VERSION_SSOT
root-manifest.json	34	:1.5	SSOT-derived/placeholder	MIOS_VERSION_SSOT
root-manifest.json	34	:3.20	SSOT-derived/placeholder	MIOS_VERSION_SSOT
root-manifest.json	34	:v1.0.0	SSOT-derived/placeholder	MIOS_VERSION_SSOT
root-manifest.json	34	:v1.32.1	SSOT-derived/placeholder	MIOS_VERSION_SSOT
root-manifest.json	34	==1.2.3	SSOT-derived/placeholder	PYTHON_DEP_VERSION
root-manifest.json	34	rancher/k3s:v1.32.1-k3s1	SSOT-derived/placeholder	MIOS_K3S_VERSION
root-manifest.json	43	:2403.16971	HARDCODED-literal	MIOS_VERSION_SSOT
root-manifest.json	43	:2403.16971	HARDCODED-literal	MIOS_VERSION_SSOT
